question,paper_id,answer_type,answer_string,prediction
What are the evaluation metrics and criteria used to evaluate the model performance?,1911.10742,extractive,"Perplexity, Response-Intent Prediction (RIP), Response-Slot Prediction (RSP), Extended Response-Intent Prediction (ERIP) , Extended Response-Slot Prediction (ERSP) , Fluency, Coherence , Engagement, Dialog length , Task Success Score (TaskSuc)","  Based on the provided context information, the evaluation metrics and criteria used to evaluate the model performance are:

1. Fluency: This metric assesses the quality of the generated sentences and is calculated based on the frequency of rare words and the average sentence length.
2. Coherence: This metric focuses on the logical consistency between sentences in each turn and is calculated based on the transition probability between sentences.
3. Engagement: This metric measures the willingness of the attackers to continue interacting with the system, and is calculated based on the average length of the dialogues.
4. Task Success Score (TaskSuc): This metric assesses the ability of the system to elicit information from the attacker, and is calculated based on the type of information obtained from the attacker.
5. Perplexity: This metric measures the error rate of the expected word and is used to evaluate the model performance.
6. Response-Intent Prediction (RIP) & Response-Slot Prediction (RSP): These metrics assess the ability of the system to predict the intent and slots of the attacker's responses.
7. Extended Response-Intent Prediction (ERIP"
What are the evaluation metrics and criteria used to evaluate the model performance?,1911.10742,extractive,"Perplexity , Response-Intent Prediction (RIP), Response-Slot Prediction (RSP), Extended Response-Intent Prediction (ERIP), Extended Response-Slot Prediction (ERSP), Fluency , Coherence , Engagement , Dialog length (Length) , Task Success Score (TaskSuc)","  Based on the provided context information, the evaluation metrics and criteria used to evaluate the model performance are:

1. Fluency: This metric assesses the quality of the generated sentences and is calculated based on the frequency of rare words and the average sentence length.
2. Coherence: This metric focuses on the logical consistency between sentences in each turn and is calculated based on the transition probability between sentences.
3. Engagement: This metric measures the willingness of the attackers to continue interacting with the system, and is calculated based on the average length of the dialogues.
4. Task Success Score (TaskSuc): This metric assesses the ability of the system to elicit information from the attacker, and is calculated based on the type of information obtained from the attacker.
5. Perplexity: This metric measures the error rate of the expected word and is used to evaluate the model performance.
6. Response-Intent Prediction (RIP) & Response-Slot Prediction (RSP): These metrics assess the ability of the system to predict the intent and slots of the attacker's responses.
7. Extended Response-Intent Prediction (ERIP"
What are the evaluation metrics and criteria used to evaluate the model performance?,1911.10742,extractive,"Fluency Fluency is used to explore different models' language generation quality.

Coherence Different from single sentence's fluency, coherence focuses more on the logical consistency between sentences in each turn.

Engagement In the anti-scam scenario, one of our missions is to keep engaging with the attackers to waste their time. So we directly ask volunteers (attackers) to what extend they would like to continue chatting with the system.

Dialog length (Length) Engagement is a subjective metric. Anti-scam system's goal is to engage user in the conversation longer in order to limit their harm to other potential victims. So we count the dialog length as another metric to evaluate system performance.

Task Success Score (TaskSuc) The other goal of the anti-scam system is to elicit attacker's personal information. We count the average type of information (name, address and phone number) that the system obtained from attackers as the task success score.","  Based on the provided context information, the evaluation metrics and criteria used to evaluate the model performance are:

1. Fluency: This metric assesses the quality of the generated sentences and is calculated based on the frequency of rare words and the average sentence length.
2. Coherence: This metric focuses on the logical consistency between sentences in each turn and is calculated based on the transition probability between sentences.
3. Engagement: This metric measures the willingness of the attackers to continue interacting with the system, and is calculated based on the average length of the dialogues.
4. Task Success Score (TaskSuc): This metric assesses the ability of the system to elicit information from the attacker, and is calculated based on the type of information obtained from the attacker.
5. Perplexity: This metric measures the error rate of the expected word and is used to evaluate the model performance.
6. Response-Intent Prediction (RIP) & Response-Slot Prediction (RSP): These metrics assess the ability of the system to predict the intent and slots of the attacker's responses.
7. Extended Response-Intent Prediction (ERIP"
What are the evaluation metrics and criteria used to evaluate the model performance?,1911.10742,abstractive,"Automatic evaluation metrics (Perplexity (PPl), Response-Intent Prediction (RIP), Response-Slot Prediction(RSP), Extended Response-Intent Prediction(ERIP),  Extended Response-Slot Prediction (ERSP)) and Human Evaluation Metrics (Fluency, Coherence, Engagement, Lenhth, TaskSuc)","  Based on the provided context information, the evaluation metrics and criteria used to evaluate the model performance are:

1. Fluency: This metric assesses the quality of the generated sentences and is calculated based on the frequency of rare words and the average sentence length.
2. Coherence: This metric focuses on the logical consistency between sentences in each turn and is calculated based on the transition probability between sentences.
3. Engagement: This metric measures the willingness of the attackers to continue interacting with the system, and is calculated based on the average length of the dialogues.
4. Task Success Score (TaskSuc): This metric assesses the ability of the system to elicit information from the attacker, and is calculated based on the type of information obtained from the attacker.
5. Perplexity: This metric measures the error rate of the expected word and is used to evaluate the model performance.
6. Response-Intent Prediction (RIP) & Response-Slot Prediction (RSP): These metrics assess the ability of the system to predict the intent and slots of the attacker's responses.
7. Extended Response-Intent Prediction (ERIP"
What are the evaluation metrics and criteria used to evaluate the model performance?,1911.10742,abstractive,"Automatic metrics used: Perplexity, RIP, RSP, ERIP ERSP.
Human evaluation metrics used: Fluency, Coherence, Engagement, Dialog length and Task Success Score.","  Based on the provided context information, the evaluation metrics and criteria used to evaluate the model performance are:

1. Fluency: This metric assesses the quality of the generated sentences and is calculated based on the frequency of rare words and the average sentence length.
2. Coherence: This metric focuses on the logical consistency between sentences in each turn and is calculated based on the transition probability between sentences.
3. Engagement: This metric measures the willingness of the attackers to continue interacting with the system, and is calculated based on the average length of the dialogues.
4. Task Success Score (TaskSuc): This metric assesses the ability of the system to elicit information from the attacker, and is calculated based on the type of information obtained from the attacker.
5. Perplexity: This metric measures the error rate of the expected word and is used to evaluate the model performance.
6. Response-Intent Prediction (RIP) & Response-Slot Prediction (RSP): These metrics assess the ability of the system to predict the intent and slots of the attacker's responses.
7. Extended Response-Intent Prediction (ERIP"
What is the accuracy of this model compared to sota?,1904.09131,none,Unacceptable,"  Based on the provided context information, I cannot compare the accuracy of the model to the state of the art (sota) as there is no mention of any specific model or comparison in the text. The text only discusses the features used in entity linking and the challenges of using Wikidata for entity disambiguation. Without more information, it is not possible to determine the accuracy of the model compared to other models or the sota."
What is the accuracy of this model compared to sota?,1904.09131,abstractive,"The model improves the state of the art performance for the ISTEX dataset (F1 micro: 0.870, F1 macro: 0.858) and for the Microposts 2016 dataset (F1 micro:  0.087).","  Based on the provided context information, I cannot compare the accuracy of the model to the state of the art (sota) as there is no mention of any specific model or comparison in the text. The text only discusses the features used in entity linking and the challenges of using Wikidata for entity disambiguation. Without more information, it is not possible to determine the accuracy of the model compared to other models or the sota."
What is the accuracy of this model compared to sota?,1904.09131,abstractive,"The micro and macro f1-scores of this model are 0.482 and 0.399 on the AIDA-CoNLL dataset, 0.087 and 0.515 on the Microposts 2016 dataset, 0.870 and 0.858 on the ISTEX-1000 dataset, 0.335 and 0.310 on the RSS-500 dataset","  Based on the provided context information, I cannot compare the accuracy of the model to the state of the art (sota) as there is no mention of any specific model or comparison in the text. The text only discusses the features used in entity linking and the challenges of using Wikidata for entity disambiguation. Without more information, it is not possible to determine the accuracy of the model compared to other models or the sota."
What is the accuracy of this model compared to sota?,1904.09131,abstractive,The accuracy ,"  Based on the provided context information, I cannot compare the accuracy of the model to the state of the art (sota) as there is no mention of any specific model or comparison in the text. The text only discusses the features used in entity linking and the challenges of using Wikidata for entity disambiguation. Without more information, it is not possible to determine the accuracy of the model compared to other models or the sota."
What is the accuracy of this model compared to sota?,1904.09131,none,Unacceptable,"  Based on the provided context information, I cannot compare the accuracy of the model to the state of the art (sota) as there is no mention of any specific model or comparison in the text. The text only discusses the features used in entity linking and the challenges of using Wikidata for entity disambiguation. Without more information, it is not possible to determine the accuracy of the model compared to other models or the sota."
What previous methods do they compare against?,1611.06322,extractive,"two state-of-the-art early rumour detection baselines Liu et. al (2015) and Yang et. al (2012), which we re-implemented., Yang et. al (2012), dubbed Yang, because they proposed a feature set for early detection tailored to Sina Weibo and were used as a state-of-the-art baseline before by Liu et. al (2015). The algorithm by Liu et. al (2015), dubbed Liu, is said to operate in real-time and outperformed Yang, when only considering features available on Twitter.","  Based on the provided context information, the authors compare their approach against previous methods that rely on repeated signals to form propagation graphs or clustering methods. These methods are blind to less popular rumours that don't go viral, and therefore, the authors propose a novelty-based feature set that requires only a single message to detect even the smallest rumours."
What previous methods do they compare against?,1611.06322,extractive,"Liu et. al (2015), Yang et. al (2012)","  Based on the provided context information, the authors compare their approach against previous methods that rely on repeated signals to form propagation graphs or clustering methods. These methods are blind to less popular rumours that don't go viral, and therefore, the authors propose a novelty-based feature set that requires only a single message to detect even the smallest rumours."
What previous methods do they compare against?,1611.06322,abstractive,"They compare against two other methods that apply message-,user-, topic- and propagation-based features and rely on an SVM classifier. One perform early rumor detection and operates with a delay of 24 hrs, while the other requires a cluster of 5 repeated messages to judge them for rumors.","  Based on the provided context information, the authors compare their approach against previous methods that rely on repeated signals to form propagation graphs or clustering methods. These methods are blind to less popular rumours that don't go viral, and therefore, the authors propose a novelty-based feature set that requires only a single message to detect even the smallest rumours."
What previous methods do they compare against?,1611.06322,extractive,"Liu et. al (2015) , Yang et. al (2012)","  Based on the provided context information, the authors compare their approach against previous methods that rely on repeated signals to form propagation graphs or clustering methods. These methods are blind to less popular rumours that don't go viral, and therefore, the authors propose a novelty-based feature set that requires only a single message to detect even the smallest rumours."
What previous methods do they compare against?,1611.06322,abstractive,Liu et al. (2015) and Yang et al. (2012),"  Based on the provided context information, the authors compare their approach against previous methods that rely on repeated signals to form propagation graphs or clustering methods. These methods are blind to less popular rumours that don't go viral, and therefore, the authors propose a novelty-based feature set that requires only a single message to detect even the smallest rumours."
What is their evaluation metric?,1611.06322,extractive,"accuracy to evaluate effectiveness, Detection Error Trade-off (DET) curves, which show the trade-off between miss and false alarm probability, throughput per second","  Based on the provided context information, the evaluation metric used in the paper is accuracy. The authors use accuracy to evaluate the effectiveness of the proposed features for instantaneous rumour detection. They also use the standard TDT evaluation procedure, which includes DET curves, to provide a more comprehensive illustration of the system's performance."
What is their evaluation metric?,1611.06322,abstractive,"The metrics are accuracy, detection error trade-off curves and computing efficiency","  Based on the provided context information, the evaluation metric used in the paper is accuracy. The authors use accuracy to evaluate the effectiveness of the proposed features for instantaneous rumour detection. They also use the standard TDT evaluation procedure, which includes DET curves, to provide a more comprehensive illustration of the system's performance."
What is their evaluation metric?,1611.06322,extractive,"accuracy , Detection Error Trade-off (DET) curves, efficiency of computing the proposed features, measured by the throughput per second","  Based on the provided context information, the evaluation metric used in the paper is accuracy. The authors use accuracy to evaluate the effectiveness of the proposed features for instantaneous rumour detection. They also use the standard TDT evaluation procedure, which includes DET curves, to provide a more comprehensive illustration of the system's performance."
What is their evaluation metric?,1611.06322,extractive,"accuracy to evaluate effectiveness, Detection Error Trade-off (DET) curves, which show the trade-off between miss and false alarm probability, throughput per second","  Based on the provided context information, the evaluation metric used in the paper is accuracy. The authors use accuracy to evaluate the effectiveness of the proposed features for instantaneous rumour detection. They also use the standard TDT evaluation procedure, which includes DET curves, to provide a more comprehensive illustration of the system's performance."
What is their evaluation metric?,1611.06322,abstractive,Accuracy compared to two state-of-the-art baselines,"  Based on the provided context information, the evaluation metric used in the paper is accuracy. The authors use accuracy to evaluate the effectiveness of the proposed features for instantaneous rumour detection. They also use the standard TDT evaluation procedure, which includes DET curves, to provide a more comprehensive illustration of the system's performance."
Are their methods fully supervised?,1611.06322,abstractive,No. They additionally use similarity to previously detected rumors to make the decision of whether a document is likely to be a rumor,"  Based on the provided context information, the methods described in the passage are not fully supervised. The passage states that the algorithm by Liu et al. (2015) is said to operate in real-time and outperformed Yang when only considering features available on Twitter, but it does not provide any information about the supervision of the methods. Additionally, the passage mentions that the novelty-based features are computed based on the presence of information unconfirmed by official media, which suggests that the methods are at least partially unsupervised. Therefore, the answer to the query is ""no,"" the methods are not fully supervised."
Do they build a dataset of rumors?,1611.06322,boolean,Yes,"  Based on the provided context information, it appears that the authors did collect a dataset of rumors for their research on real-time rumor detection on social media. They mention that they created their own dataset by randomly collecting 200 news articles from Xinhua News Agency, and then used an official rumor debunking service to obtain a high-quality set of 202 confirmed rumors. Additionally, they gathered 202 non-rumors using the public Sina Weibo API and had human annotators judge them to ensure that they did not contain any rumors."
Do they build a dataset of rumors?,1611.06322,boolean,Yes,"  Based on the provided context information, it appears that the authors did collect a dataset of rumors for their research on real-time rumor detection on social media. They mention that they created their own dataset by randomly collecting 200 news articles from Xinhua News Agency, and then used an official rumor debunking service to obtain a high-quality set of 202 confirmed rumors. Additionally, they gathered 202 non-rumors using the public Sina Weibo API and had human annotators judge them to ensure that they did not contain any rumors."
Do they build a dataset of rumors?,1611.06322,boolean,Yes,"  Based on the provided context information, it appears that the authors did collect a dataset of rumors for their research on real-time rumor detection on social media. They mention that they created their own dataset by randomly collecting 200 news articles from Xinhua News Agency, and then used an official rumor debunking service to obtain a high-quality set of 202 confirmed rumors. Additionally, they gathered 202 non-rumors using the public Sina Weibo API and had human annotators judge them to ensure that they did not contain any rumors."
Do they build a dataset of rumors?,1611.06322,abstractive,"Yes, consisting of trusted resources, rumours and non-rumours","  Based on the provided context information, it appears that the authors did collect a dataset of rumors for their research on real-time rumor detection on social media. They mention that they created their own dataset by randomly collecting 200 news articles from Xinhua News Agency, and then used an official rumor debunking service to obtain a high-quality set of 202 confirmed rumors. Additionally, they gathered 202 non-rumors using the public Sina Weibo API and had human annotators judge them to ensure that they did not contain any rumors."
Do they build a dataset of rumors?,1611.06322,boolean,Yes,"  Based on the provided context information, it appears that the authors did collect a dataset of rumors for their research on real-time rumor detection on social media. They mention that they created their own dataset by randomly collecting 200 news articles from Xinhua News Agency, and then used an official rumor debunking service to obtain a high-quality set of 202 confirmed rumors. Additionally, they gathered 202 non-rumors using the public Sina Weibo API and had human annotators judge them to ensure that they did not contain any rumors."
What languages do they evaluate their methods on?,1611.06322,abstractive,Chinese,"  Based on the provided context information, the authors of the paper evaluate their rumour detection methods on Chinese social media, specifically on Sina Weibo, a Chinese social media service with over 200 million active users. Therefore, the answer to the query ""What languages do they evaluate their methods on?"" is:

* Chinese"
What languages do they evaluate their methods on?,1611.06322,abstractive,Mandarin Chinese,"  Based on the provided context information, the authors of the paper evaluate their rumour detection methods on Chinese social media, specifically on Sina Weibo, a Chinese social media service with over 200 million active users. Therefore, the answer to the query ""What languages do they evaluate their methods on?"" is:

* Chinese"
What languages do they evaluate their methods on?,1611.06322,extractive,Chinese,"  Based on the provided context information, the authors of the paper evaluate their rumour detection methods on Chinese social media, specifically on Sina Weibo, a Chinese social media service with over 200 million active users. Therefore, the answer to the query ""What languages do they evaluate their methods on?"" is:

* Chinese"
What languages do they evaluate their methods on?,1611.06322,abstractive,Mandarin Chinese (see table 3),"  Based on the provided context information, the authors of the paper evaluate their rumour detection methods on Chinese social media, specifically on Sina Weibo, a Chinese social media service with over 200 million active users. Therefore, the answer to the query ""What languages do they evaluate their methods on?"" is:

* Chinese"
What languages do they evaluate their methods on?,1611.06322,extractive,Chinese,"  Based on the provided context information, the authors of the paper evaluate their rumour detection methods on Chinese social media, specifically on Sina Weibo, a Chinese social media service with over 200 million active users. Therefore, the answer to the query ""What languages do they evaluate their methods on?"" is:

* Chinese"
How do they define rumors?,1611.06322,extractive,the presence of information unconfirmed by the official media is construed as an indication of being a rumour. ,"  Based on the provided context information, the definition of a rumor is as follows:

""A rumor is information of doubtful or unconfirmed truth."" (Cambridge Dictionary)

In other words, a rumor is something that is not confirmed or verified and may be untrue or exaggerated. It can be described as information that is uncertain or questionable in nature."
How do they define rumors?,1611.06322,extractive,information of doubtful or unconfirmed truth,"  Based on the provided context information, the definition of a rumor is as follows:

""A rumor is information of doubtful or unconfirmed truth."" (Cambridge Dictionary)

In other words, a rumor is something that is not confirmed or verified and may be untrue or exaggerated. It can be described as information that is uncertain or questionable in nature."
How do they define rumors?,1611.06322,abstractive,information that is not fact- and background-checked and thoroughly investigated for authenticity,"  Based on the provided context information, the definition of a rumor is as follows:

""A rumor is information of doubtful or unconfirmed truth."" (Cambridge Dictionary)

In other words, a rumor is something that is not confirmed or verified and may be untrue or exaggerated. It can be described as information that is uncertain or questionable in nature."
How do they define rumors?,1611.06322,abstractive,Information of doubtful or unconfirmed truth,"  Based on the provided context information, the definition of a rumor is as follows:

""A rumor is information of doubtful or unconfirmed truth."" (Cambridge Dictionary)

In other words, a rumor is something that is not confirmed or verified and may be untrue or exaggerated. It can be described as information that is uncertain or questionable in nature."
What baselines did they compare with?,1604.02038,extractive,"LDA, Doc-NADE, HTMM, GMNTM","  Based on the provided context information, the authors compared the following baselines with their proposed SLRTM model:

1. Latent Dirichlet Allocation (LDA)
2. Hierarchical Topic Models (HTM)
3. Supervised Topic Models (STM)
4. Neural Network-based Topic Models (NNTM)
5. Gated Mixture of Non-negative Topics (GMNTM)
6. Document-NADE (Doc-NADE)

These baselines are representative of various topic modeling approaches, including both traditional and deep learning-based methods. The authors compared the performance of their proposed SLRTM model with these baselines to demonstrate its effectiveness in topic modeling."
What baselines did they compare with?,1604.02038,extractive,"LDA, Doc-NADE, HTMM, GMNTM","  Based on the provided context information, the authors compared the following baselines with their proposed SLRTM model:

1. Latent Dirichlet Allocation (LDA)
2. Hierarchical Topic Models (HTM)
3. Supervised Topic Models (STM)
4. Neural Network-based Topic Models (NNTM)
5. Gated Mixture of Non-negative Topics (GMNTM)
6. Document-NADE (Doc-NADE)

These baselines are representative of various topic modeling approaches, including both traditional and deep learning-based methods. The authors compared the performance of their proposed SLRTM model with these baselines to demonstrate its effectiveness in topic modeling."
What baselines did they compare with?,1604.02038,extractive,"LDA BIBREF2, Doc-NADE BIBREF24, HTMM BIBREF9, GMNTM BIBREF12","  Based on the provided context information, the authors compared the following baselines with their proposed SLRTM model:

1. Latent Dirichlet Allocation (LDA)
2. Hierarchical Topic Models (HTM)
3. Supervised Topic Models (STM)
4. Neural Network-based Topic Models (NNTM)
5. Gated Mixture of Non-negative Topics (GMNTM)
6. Document-NADE (Doc-NADE)

These baselines are representative of various topic modeling approaches, including both traditional and deep learning-based methods. The authors compared the performance of their proposed SLRTM model with these baselines to demonstrate its effectiveness in topic modeling."
