,question,contexts,answer,ground_truths,answer_relevancy,faithfulness,context_recall,context_precision
0,Did they pre-train on existing sentiment corpora?,"['After choosing the parameters, models were re-trained on all the available data.We consider some of the most popular baseline models in the literature: (i) minority class baseline (due to the heavily imbalanced dataset), (ii) Support Vector Machines trained on TF-IDF bi-gram language model, (iii) and Support Vector Machines trained on word2vec representations. These models were trained using English documents only.Two types of targeted sentiment are evaluated for the task: those expressed towards either a situation frame or those towards an entity. To identify sentiment expressed towards an SF, we use the pretrained model described in BIBREF44 , in which a multiplicative LSTM cell is trained at the character level on a corpus of 82 million Amazon reviews. The model representation is then fed to a logistic regression classifier to predict sentiment. This model (which we will refer to as OpenAI) was chosen since at the time of our system submission it was one of the top three performers on the binary sentiment classification task on the Stanford Sentiment Treebank.'
 'This model was selected because it provided a good trade off between simplicity and performance on a fine-grained sentiment task, and has been shown to achieve competitive results to the state-of-the-art BIBREF43 .Models\tWe now describe the models used for this work. Our models can be broken down into two groups: our first approach explores state-of-the-art models in targeted and untargeted sentiment analysis to evaluate their performance in the context of the SEC task. These models were pre-trained on larger corpora and evaluated directly on the task without any further adaptation. In a second approach we explore a data augmentation technique based on a proposed simplification of the task. In this approach, traditional machine learning classifiers were trained to identify which segments contain sentiment towards a SF regardless of sentiment polarity. For the classifiers, we explored the use of Support Vector Machines and Random Forests. Model performance was estimated through 10-fold cross validation on the train set. Hyper-parameters, such as of regularization, were selected based on the performance on grid-search using an 10-fold inner-cross validation loop.']","  Based on the provided context information, it appears that the authors did not pre-train on existing sentiment corpora. The text states that the models were trained using English documents only and does not mention any pre-existing sentiment corpora. Additionally, the authors describe using a pre-trained model (OpenAI) which was trained on a corpus of 82 million Amazon reviews, but this corpus is not specified as an existing sentiment corpus. Therefore, the answer to the query is no, they did not pre-train on existing sentiment corpora.",['Unacceptable'],0.7084353649480534,0.6666666666666667,0.0,0.0
1,What were the most salient features extracted by the models?,"['After choosing the parameters, models were re-trained on all the available data.We consider some of the most popular baseline models in the literature: (i) minority class baseline (due to the heavily imbalanced dataset), (ii) Support Vector Machines trained on TF-IDF bi-gram language model, (iii) and Support Vector Machines trained on word2vec representations. These models were trained using English documents only.Two types of targeted sentiment are evaluated for the task: those expressed towards either a situation frame or those towards an entity. To identify sentiment expressed towards an SF, we use the pretrained model described in BIBREF44 , in which a multiplicative LSTM cell is trained at the character level on a corpus of 82 million Amazon reviews. The model representation is then fed to a logistic regression classifier to predict sentiment. This model (which we will refer to as OpenAI) was chosen since at the time of our system submission it was one of the top three performers on the binary sentiment classification task on the Stanford Sentiment Treebank.'
 'This model was selected because it provided a good trade off between simplicity and performance on a fine-grained sentiment task, and has been shown to achieve competitive results to the state-of-the-art BIBREF43 .Models\tWe now describe the models used for this work. Our models can be broken down into two groups: our first approach explores state-of-the-art models in targeted and untargeted sentiment analysis to evaluate their performance in the context of the SEC task. These models were pre-trained on larger corpora and evaluated directly on the task without any further adaptation. In a second approach we explore a data augmentation technique based on a proposed simplification of the task. In this approach, traditional machine learning classifiers were trained to identify which segments contain sentiment towards a SF regardless of sentiment polarity. For the classifiers, we explored the use of Support Vector Machines and Random Forests. Model performance was estimated through 10-fold cross validation on the train set. Hyper-parameters, such as of regularization, were selected based on the performance on grid-search using an 10-fold inner-cross validation loop.']","  Based on the context information provided, the most salient features extracted by the models were not explicitly mentioned in the text. However, we can infer that the models used in this study were trained on text data and were designed to extract features related to sentiment expression and targeted sentiment analysis.

The models used in this study include a pre-trained model (OpenAI) that was trained on a corpus of 82 million Amazon reviews, as well as Support Vector Machines (SVMs) trained on TF-IDF bi-gram language models and word2vec representations. These models were designed to capture features related to sentiment expression and targeted sentiment analysis, such as the presence of positive or negative words, the context in which they appear, and the relationships between words in a sentence.

Without further information, it is not possible to determine the specific features that were extracted by these models. However, based on the context, we can infer that the models were designed to capture sentiment-related features that are relevant to the task of targeted sentiment analysis in the SEC task.",['Unacceptable'],0.813919809792138,0.8,0.0,0.0
2,How many languages are in the dataset?,"['In this section we present the linguistic features and describe the models using for the evaluation.Machine Translation\tAutomatic translations from Spanish to English were obtained from Microsoft Bing using their publicly available API. For the pilot evaluation, we translated all of the Spanish documents into English, and included them as additional training data. At this time we do not translate English to Spanish, but plan to explore this thread in future work.Linguistic Features\tWe extract word unigrams and bigrams. These features were then transformed using term frequencies (TF) and Inverse document-frequency (IDF).Word embeddings pretrained on large corpora allow models to efficiently leverage word semantics as well as similarities between words. This can help with vocabulary generalization as models can adapt to words not previously seen in training data. In our feature set we include a 300-dimensional word2vec word representation trained on a large news corpus BIBREF36 . We obtain a representation for each segment by averaging the embedding of each word in the segment.'
 ""This allows us to expand our dataset from 123 documents into one with $\\sum _d |SF_d| \\times |d|$ number of samples, where $|d|$ is the length of the document (i.e., number of segments) and $|SF_d|$ is the number of SF annotations for document $d$ . Summary of the training dataset after augmentation is given in Table 3 .Given the highly skewed label distribution in the training data, a majority of the constructed pairs do not have any sentiment towards a SF. Hence, our resulting dataset has a highly imbalanced distribution which we address by training our models after setting the class weights to be the inverse class frequency. To predict polarity, we assume the majority class of negative sentiment. We base this assumption on the fact that the domain we are working with doesn't seem to support the presence of positive sentiment, as made evident by the highly imbalanced dataset.Owing to the nature of the problem domain, there is considerable variance in the source of the text documents and their structure.""]","  Based on the provided context information, I can answer your query as follows:

The dataset contains texts in two languages: Spanish and English.",['2'],0.950160702990645,1.0,0.4117647058823529,0.0
3,Did the system perform well on low-resource languages?,"['A system for the 2019 Sentiment, Emotion and Cognitive State Task of DARPAs LORELEI project\tDuring the course of a Humanitarian Assistance-Disaster Relief (HADR) crisis, that can happen anywhere in the world, real-time information is often posted online by the people in need of help which, in turn, can be used by different stakeholders involved with management of the crisis. Automated processing of such posts can considerably improve the effectiveness of such efforts; for example, understanding the aggregated emotion from affected populations in specific areas may help inform decision-makers on how to best allocate resources for an effective disaster response. However, these efforts may be severely limited by the availability of resources for the local language. The ongoing DARPA project Low Resource Languages for Emergent Incidents (LORELEI) aims to further language processing technologies for low resource languages in the context of such a humanitarian crisis. In this work, we describe our submission for the 2019 Sentiment, Emotion and Cognitive state (SEC) pilot task of the LORELEI project. We describe a collection of sentiment analysis systems included in our submission along with the features extracted.'
 ""These performed reasonably well for the English data. Among the submissions of the SEC Task pilot, our systems outperformed the other competitors for both languages.Conclusion\tUnderstanding the expressed sentiment from an affected population during the on-set of a crisis is a particularly difficult task, especially in low-resource scenarios. There are multiple difficulties beyond the limited amount of data. For example, in order to provide decision-makers with actionable and usable information, it is not enough for the system to correctly classify sentiment or emotional state, it also ought to identify the source and target of the expressed sentiment. To provide a sense of trust and accountability on the system's decisions, it makes sense to identify a justifying segment. Moreover, these systems should consider a variety of information sources to create a broader and richer picture on how a situation unfolds. Thus, it is important that systems take into account the possible differences in the way sentiment is expressed in each one of these sources. In this work, we presented two approaches to the task of providing actionable and useful information. Our results show that state-of-the-art sentiment classifiers can be leveraged out-of-the-box for a reasonable performance on English data.""]","  Based on the information provided in the context, the system did not perform well on low-resource languages. The text states that the systems performed reasonably well for English data but did not provide any information about their performance on low-resource languages. Therefore, it can be inferred that the system did not perform well on low-resource languages.",['Unacceptable'],0.9848833047429567,0.5,0.0,0.13333333333333333
0,Do the authors report results on only English datasets?,"[""While early health-related research from social media focused almost exclusively on population-level studies, some very recent research tasks have focused on performing longitudinal data analysis at the user level, such as mining health-related information from cohorts of pregnant women BIBREF4.When conducting user-level studies from social media, one challenge is to ascertain the credibility of the information posted. Particularly, it is important to verify, when deriving statistical estimates from user cohorts, that the user accounts represent humans and not bots (accounts that can be controlled to automatically produce content and interact with other profiles)BIBREF5, BIBREF6. Bots may spread false information by automatically retweeting posts without a human verifying the facts or to influence public opinions on particular topics on purpose BIBREF5, BIBREF7, BIBREF8. For example, a recent study BIBREF9 showed that the highest proportion of anti-vaccine content is generated by accounts with unknown or intermediate bot scores, meaning that the existing methods were not able to fully determine if they were indeed bots. Automatic bot detection techniques mostly rely on extracting features from users' profiles and their social networks BIBREF10, BIBREF11.""
 'We have made the classification code and training set of annotated users available at (we will provide a URL with the camera-ready version of the paper).Methods ::: Corpus\tTo identify bots in health-related social media data, we retrieved a sample of $10,417$ users from a database containing more than 400 million publicly available tweets posted by more than $100,000$ users who have announced their pregnancy on Twitter BIBREF4. This sample is based on related work for detecting users who have mentioned various pregnancy outcomes in their tweets. Two professional annotators manually categorized the $10,417$ users as ""bot,"" ""non-bot,"" or ""unavailable,"" based on their publicly available Twitter sites. Users were annotated broadly as ""bot"" if, in contrast to users annotated as ""non-bot,"" they do not appear to be posting personal information. Users were annotated as ""unavailable"" if their Twitter sites could not be viewed at the time of annotation, due to modifying their privacy settings or being removed or suspended from Twitter.']","  Based on the provided context information, the authors do not report results on only English datasets. The study uses a dataset of publicly available tweets posted by users who have announced their pregnancy on Twitter, which suggests that the data is not limited to English-language tweets or users from a specific geographic region. The authors also mention that their approach can be applied to other languages and platforms, implying that the results are not language-specific.",['Unacceptable'],0.8469128848491398,0.25,0.0,0.18181818181818182
1,What are the characteristics of the dataset of Twitter users?,"['As Figure 1 illustrates, a subset of ""bot"" users post, on average, more tweets daily than ""non-bot"" users.Topics. Considering that ""bot"" users may post tweets about a limited number of targeted topics, we used topic modeling to the measure the heterogeneity of topics in a user\'s tweets. We used Latent Dirichlet Allocation (LDA)BIBREF25 to extract the top five topics from all of the users\' 1000 most recent tweets (or all the tweets if a user has posted less than 1000 tweets), and used the mean of the weights of each topic across all of a user\'s tweets.Mean Post Length. Considering that the length of tweets may be different between ""bot"" and ""non-bot"" users, we used the mean word length and standard deviation of a user\'s tweets.Profile Picture. In addition to tweet-related features, we used features based on information in users\' profiles. Considering that a ""non-bot"" user\'s profile picture may be more likely to contain a face, we used a publicly available system to detect the number of faces in a profile picture.'
 'We have made the classification code and training set of annotated users available at (we will provide a URL with the camera-ready version of the paper).Methods ::: Corpus\tTo identify bots in health-related social media data, we retrieved a sample of $10,417$ users from a database containing more than 400 million publicly available tweets posted by more than $100,000$ users who have announced their pregnancy on Twitter BIBREF4. This sample is based on related work for detecting users who have mentioned various pregnancy outcomes in their tweets. Two professional annotators manually categorized the $10,417$ users as ""bot,"" ""non-bot,"" or ""unavailable,"" based on their publicly available Twitter sites. Users were annotated broadly as ""bot"" if, in contrast to users annotated as ""non-bot,"" they do not appear to be posting personal information. Users were annotated as ""unavailable"" if their Twitter sites could not be viewed at the time of annotation, due to modifying their privacy settings or being removed or suspended from Twitter.']","  Based on the provided context information, here are the characteristics of the dataset of Twitter users:

1. Number of users: The dataset contains 10,417 users.
2. Pregnancy-related tweets: The users in the dataset have announced their pregnancy outcomes in their tweets.
3. Bot and non-bot classification: The users were manually annotated as ""bot,"" ""non-bot,"" or ""unavailable"" based on their publicly available Twitter sites.
4. Topic modeling: The top five topics were extracted from all of the users' 1000 most recent tweets using Latent Dirichlet Allocation (LDA).
5. Mean post length: The mean word length and standard deviation of a user's tweets were used as features.
6. Profile picture analysis: A publicly available system was used to detect the number of faces in a profile picture.
7. Dataset size: The dataset contains 400 million publicly available tweets posted by over 100,000 users.",['Unacceptable'],0.990471569629115,0.7142857142857143,0.0,0.8333333333333334
2,How can an existing bot detection system by customized for health-related research?,"['The presence of bots in social media presents a crucial problem, particularly because bots may be customized to perpetuate specific biased or false information, or to execute advertising or marketing goals. We demonstrate that, while existing systems have been successful in detecting bots in other domains, they do not perform as well for detecting health-related bots. Using a machine learning algorithm on top of an existing bot detection system, and a set of simple derived features, we were able to significantly improve bot detection performance in health-related data. Introducing more features would likely contribute to further improving performance, which we will explore in future work.Acknowledgments\tThis study was funded in part by the National Library of Medicine (NLM) (grant number: R01LM011176) and the National Institute on Drug Abuse (NIDA) (grant number: R01DA046619) of the National Institutes of Health (NIH). The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Institutes of Health.'
 'Towards Automatic Bot Detection in Twitter for Health-related Tasks\tWith the increasing use of social media data for health-related research, the credibility of the information from this source has been questioned as the posts may originate from automated accounts or ""bots"". While automatic bot detection approaches have been proposed, there are none that have been evaluated on users posting health-related information. In this paper, we extend an existing bot detection system and customize it for health-related research. Using a dataset of Twitter users, we first show that the system, which was designed for political bot detection, underperforms when applied to health-related Twitter users. We then incorporate additional features and a statistical machine learning classifier to significantly improve bot detection performance. Our approach obtains F_1 scores of 0.7 for the ""bot"" class, representing improvements of 0.339. Our approach is customizable and generalizable for bot detection in other health-related social media cohorts.\tIntroduction\tIn recent years, social media has evolved into an important source of information for various types of health-related research. Social networks encapsulate large volumes of data associated with diverse health topics, generated by active user bases in continuous growth.']","  Based on the provided context information, to customize an existing bot detection system for health-related research, one can incorporate additional features and use a statistical machine learning classifier to significantly improve bot detection performance. This approach can obtain F_1 scores of 0.7 for the ""bot"" class, representing improvements of 0.339. The approach is customizable and generalizable for bot detection in other health-related social media cohorts.",['An existing bot detection score for each user  can be used as a feature in training'],0.9348733900867184,1.0,0.0,0.21428571428571427
3,What type of health-related research takes place in social media?,"['Twitter, for example, has 330 million monthly active users worldwide that generate almost 500 million micro-blogs (tweets) per day. For some years, the use of the platform to share personal health information has been growing, particularly amongst people living with one or more chronic conditions and those living with disability. Twenty percent of social network site users living with chronic conditions gather and share health information on the sites, compared with 12% of social network site users who report no chronic conditions. Social media data is thus being widely used for health-related research, for tasks such as adverse drug reaction detection BIBREF0, syndromic surveillance BIBREF1, subject recruitment for cancer trials BIBREF2, and characterizing drug abuse BIBREF3, to name a few. Twitter is particularly popular in research due to the availability of the public streaming API, which releases a sample of publicly posted data in real time.'
 'Towards Automatic Bot Detection in Twitter for Health-related Tasks\tWith the increasing use of social media data for health-related research, the credibility of the information from this source has been questioned as the posts may originate from automated accounts or ""bots"". While automatic bot detection approaches have been proposed, there are none that have been evaluated on users posting health-related information. In this paper, we extend an existing bot detection system and customize it for health-related research. Using a dataset of Twitter users, we first show that the system, which was designed for political bot detection, underperforms when applied to health-related Twitter users. We then incorporate additional features and a statistical machine learning classifier to significantly improve bot detection performance. Our approach obtains F_1 scores of 0.7 for the ""bot"" class, representing improvements of 0.339. Our approach is customizable and generalizable for bot detection in other health-related social media cohorts.\tIntroduction\tIn recent years, social media has evolved into an important source of information for various types of health-related research. Social networks encapsulate large volumes of data associated with diverse health topics, generated by active user bases in continuous growth.']","  Based on the provided context information, it appears that various types of health-related research take place in social media, including:

1. Adverse drug reaction detection
2. Syndromic surveillance
3. Subject recruitment for cancer trials
4. Characterizing drug abuse

These types of research are mentioned in the context information as being conducted using social media data, specifically from Twitter.",['Unacceptable'],0.946728792491028,1.0,0.0,0.07142857142857142
0,what previous work do they also look at?,"['In the NLP literature, the syntactic category that each inflected form encodes is called the morphological tag. The morphological tag generalizes traditional part-of-speech tags, enriching them with further linguistic knowledge such as tense, mood, and grammatical case. We call the individual key–attribute pairs morphological attributes.An example of a sentence annotated with morphological tags and lemmata in context is given in fig:sentence. The task of mapping a sentence to a sequence of morphological tags is known as morphological tagging.A Joint Neural Model\tThe primary contribution of this paper is a joint model of morphological tagging and lemmatization. The intuition behind the joint model is simple: high-accuracy lemmatization requires a representation of the sentential context, in which the word occurs (this behind has been evinced in sec:introduction)—a morphological tag provides the precise summary of the context required to choose the correct lemma. Armed with this, we define our joint model of lemmatization and morphological tagging as: DISPLAYFORM0  fig:model illustrates the structure of our model in the form of a graphical model.'
 'We factor the probabilistic lemmatizer as, DISPLAYFORM0 The summation is computed with dynamic programming—specifically, using the forward algorithm for hidden Markov models BIBREF23 . INLINEFORM0 is a two-layer feed-forward network followed by a softmax. The transition INLINEFORM1 is the multiplicative attention function with INLINEFORM2 and INLINEFORM3 as input. To enforce monotonicity, INLINEFORM4 if INLINEFORM5 .Decoding\tWe consider two manners, by which we decode our model. The first is a greedy decoding scheme. The second is a crunching BIBREF24 scheme. We describe each in turn.In the greedy scheme, we select the best morphological tag sequence DISPLAYFORM0 and then decode each lemmata DISPLAYFORM0 Note that we slightly abuse notation since the argmax here is approximate: exact decoding of our neural lemmatizer is hard. This sort of scheme is also referred to as pipeline decoding.In the crunching scheme, we first extract a INLINEFORM0 -best list of taggings from the morphological tagger.']","  Based on the context information provided, the authors of the paper also look at previous work in the field of morphological tagging and lemmatization. They mention that their joint model of morphological tagging and lemmatization builds upon previous work in this area, but do not provide specific references or details about these works.",['Unacceptable'],0.8110596929490997,0.0,0.0,0.0
1,what languages did they experiment with?,"['In 8 out of 20 languages, the improvement is statistical significant with INLINEFORM0 . We select the best INLINEFORM1 for each language based on the development set.In fig:error-analysis, we provide a language-wise breakdown of the performance of our model and the model of N18-1126. Our strongest improvements are seen in Latvian, Greek and Hungarian. When measuring performance solely over unseen inflected forms, we achieve even stronger gains over the baseline method in most languages. This demonstrates the generalization power of our model beyond word forms seen in the training set. In addition, our accuracies on ambiguous tokens are also seen to be higher than the baseline on average, with strong improvements on highly inflected languages such as Latvian and Russian. Finally, on seen unambiguous tokens, we note improvements that are similar across all languages.Error Patterns\tWe attempt to identify systematic error patterns of our model in an effort to motivate future work. For this analysis, we compare predictions of our model and the gold lemmata on three languages with the weakest absolute performance: Estonian, Latvian and Arabic.'
 'Empirically, we have shown that our model achieves state-of-the-art results, hinting that explicitly modeling morphological tags is a more effective manner for modeling context. In addition to strong numbers, we tried to explain when and why our model does better. Specifically, we show a significant correlation between our scores and the number of tokens and tags present in a treebank. We take this to indicate that our method improves performance more for low-resource languages as well as morphologically rich languages.Acknowledgments\tWe thank Toms Bergmanis for his detailed feedback on the accepted version of the manuscript. Additionally, we would like to thank the three anonymous reviewers for their valuable suggestions. The last author would like to acknowledge support from a Facebook Fellowship.Additional Results\tWe present the exact numbers on all languages to allow future papers to compare to our results in tab:dev and tab:test.']","  Based on the provided context information, the authors of the paper experimented with the following languages:

1. Latvian
2. Greek
3. Hungarian
4. Estonian
5. Arabic","['They experiment with: arabic' ' basque' ' croatian' ' dutch' ' estonian'
 ' finnish' ' german' ' greek' ' hindi' ' hungarian' ' italian' ' latvian'
 ' polish' ' portuguese' ' romanian' ' russian' ' slovak' ' slovenian'
 ' turkish and urdu.']",0.9424319126759769,0.6,0.2,0.21428571428571427
0,Which labeling scheme do they use?,"['However, this does not extend to las. This different behavior between uas and las seems to be originated by the fact that 2-task dependency parsing models, which are the basis for the corresponding auxiliary task and mtl models, improve uas but not las with respect to single-task dependency parsing models. The reason might be that the single-task setup excludes unlikely combinations of dependency labels with PoS tags or dependency directions that are not found in the training set, while in the 2-task setup, both components are treated separately, which may be having a negative influence on dependency labeling accuracy.In general, one can observe different range of gains of the models across languages. In terms of uas, the differences between single-task and mtl models span between INLINEFORM0 (Basque) and INLINEFORM1 (Hebrew); for las, INLINEFORM2 and INLINEFORM3 (both for Hebrew); and for F1, INLINEFORM4 (Hebrew) and INLINEFORM5 (Korean).'
 'This is similar to BIBREF28 . For dependency parsing, we propose in this work a mtl version too. We observed in preliminary experiments, as shown in Table TABREF14 , that casting the problem as 3-task learning led to worse results. Instead, we cast it as a 2-task learning problem, where the first task consists in predicting the head of a word INLINEFORM4 , i.e. predicting the tuple INLINEFORM5 , and the second task predicts the type of the relation INLINEFORM6 . The loss is here computed as INLINEFORM7 = INLINEFORM8 , where INLINEFORM9 is the partial loss coming from the subtask INLINEFORM10 .We predict the partial labels from one of the parsing abstractions as main tasks. The partial labels from the other parsing paradigm are used as auxiliary tasks. The loss is computed as INLINEFORM0 = INLINEFORM1 , where INLINEFORM2 is an auxiliary loss and INLINEFORM3 its specific weighting factor.']","  Based on the context information provided, the authors of the paper use a multi-task learning (MTL) approach with two tasks: predicting the head of a word (INLINEFORM4) and predicting the type of the relation (INLINEFORM6). The loss is computed as INLINEFORM7 = INLINEFORM8, where INLINEFORM9 is the partial loss coming from the subtask INLINEFORM10. Additionally, they use a combination of single-task and MTL models for dependency parsing, and observe different ranges of gains across languages.",['Unacceptable'],0.7774846826151337,0.75,0.0,0.0
1,What parts of their multitask model are shared?,"[""However, these methods are complex and intended for statistical parsers. Instead, we propose a extremely simple framework to learn across constituency and dependency representations.Learning across representations\tTo learn across representations we cast the problem as multi-task learning. mtl enables learning many tasks jointly, encapsulating them in a single model and leveraging their shared representation BIBREF12 , BIBREF22 . In particular, we will use a hard-sharing architecture: the sentence is first processed by stacked bilstms shared across all tasks, with a task-dependent feed-forward network on the top of it, to compute each task's outputs. In particular, to benefit from a specific parsing abstraction we will be using the concept of auxiliary tasks BIBREF23 , BIBREF24 , BIBREF25 , where tasks are learned together with the main task in the mtl setup even if they are not of actual interest by themselves, as they might help to find out hidden patterns in the data and lead to better generalization of the model.""
 'However, this does not extend to las. This different behavior between uas and las seems to be originated by the fact that 2-task dependency parsing models, which are the basis for the corresponding auxiliary task and mtl models, improve uas but not las with respect to single-task dependency parsing models. The reason might be that the single-task setup excludes unlikely combinations of dependency labels with PoS tags or dependency directions that are not found in the training set, while in the 2-task setup, both components are treated separately, which may be having a negative influence on dependency labeling accuracy.In general, one can observe different range of gains of the models across languages. In terms of uas, the differences between single-task and mtl models span between INLINEFORM0 (Basque) and INLINEFORM1 (Hebrew); for las, INLINEFORM2 and INLINEFORM3 (both for Hebrew); and for F1, INLINEFORM4 (Hebrew) and INLINEFORM5 (Korean).']","  Based on the given context information, the shared parts of their multitask model are:

* The sentence is first processed by stacked bilstms that are shared across all tasks.
* A task-dependent feed-forward network is used to compute each task's outputs.",['Unacceptable'],0.8635855112313209,1.0,0.0,0.5555555555555556
2,Which dataset do they use?,"['Figure FIGREF17 shows the architecture used in this and the following multi-paradigm model.All tasks are learned as main tasks instead.Data\tIn the following experiments we use two parallel datasets that provide syntactic analyses for both dependency and constituency parsing.For the evaluation on English language we use the English Penn Treebank BIBREF40 , transformed into Stanford dependencies BIBREF41 with the predicted PoS tags as in BIBREF32 .We also use the spmrl datasets, a collection of parallel dependency and constituency treebanks for morphologically rich languages BIBREF42 . In this case, we use the predicted PoS tags provided by the organizers. We observed some differences between the constituency and dependency predicted input features provided with the corpora. For experiments where dependency parsing is the main task, we use the input from the dependency file, and the converse for constituency, for comparability with other work. d-mtl models were trained twice (one for each input), and dependency and constituent scores are reported on the model trained on the corresponding input.We use bracketing F-score from the original evalb and eval_spmrl official scripts to evaluate constituency trees.'
 'For instance, BIBREF26 have shown that semantic parsing benefits from that approach.The input is the same for both types of parsing and the same number of timesteps are required to compute a tree (equal to the length of the sentence), which simplifies the joint modeling. In this work, we focus on parallel data (we train on the same sentences labeled for both constituency and dependency abstractions). In the future, we plan to explore the idea of exploiting joint training over disjoint treebanks BIBREF27 .Baselines and models\tWe test different sequence labeling parsers to determine whether there are any benefits in learning across representations.']","  Based on the given context information, the authors use the English Penn Treebank BIBREF40 and the spmrl datasets, which are collections of parallel dependency and constituency treebanks for morphologically rich languages.",['Unacceptable'],0.9052409271053957,0.75,0.0,0.4
0,Is there a metric that also rewards good stylistic response?,"['However, as shown in the quality scores, this behavior also undermines the quality of the generated responses. Therefore, the overall performance of ECM is not optimal as shown in the results of the ranking metric.From the experiment results, we observe that removing retrieved information (PS w/o R) from the proposed model causes a drastic drop on the quality score. This demonstrates that the retrieved information is indispensable for the model to generate a stylistic response and maintain a high response quality. In addition, comparing with GPT2-FT baseline, the ablated model (PS w/o R) shows similar content quality and much stronger stylistic expression, which is gained from the model architectural design and the new training strategy.Experiments ::: Further Analysis\tWe present further discussions and empirical analysis of the proposed approach.Experiments ::: Further Analysis ::: Balance between Quality and Style\tIn practice, a satisfactory stylistic dialogue system should express the desired style on the premise of the response quality. Based on the criterion of human evaluation metric, 3 is the marginal score of acceptance. So we deem a response as marginally acceptable by actual users when both quality and style expression scores are greater or equal to 3.'
 ""To determine whether a word is stylistic, we use the pointwise mutual information (PMI) BIBREF29 metric. The relevance between the word $x$ and the style $s$ is measured aswhere $p(x, s)$ is the frequency that the word $x$ appears in a response with style $s$ in the training corpus. And a word $x$ is stylistic given the style $s$ if $\\textup {PMI}(x,s)\\ge t_s$. In our experiments, we empirically set $t_s$ as $t_s = \\frac{3}{4}\\times \\max _{v\\in \\mathcal {V}}\\textup {PMI}(v; s)$, where $\\mathcal {V}$ is the vocabulary set of the training corpus. Given the set of all possible language styles $\\mathcal {S}$, the stylistic vocabulary $\\mathcal {SV}$ is defined as all words that express any style $s\\in \\mathcal {S}$. An example is provided in Figure FIGREF2 where the prototype: “That's _ .""]","  Based on the given context information, I can provide an answer to the query.

There is indeed a metric that rewards good stylistic responses, and it is called the ""pointwise mutual information"" (PMI) metric. PMI measures the relevance between a word and a style, and it is calculated as the logarithmic ratio of the joint probability of the word and the style to the product of their individual probabilities.

To determine whether a word is stylistic given a style, we can use a threshold value of PMI, such as $t_s = \frac{3}{4}\times \max_{v\in \mathcal{V}}\textup{PMI}(v; s)$, where $\mathcal{V}$ is the vocabulary set of the training corpus. The stylistic vocabulary $\mathcal{SV}$ can be defined as all words that express any style $s\in \mathcal{S}$.

For example, if we want to determine whether the word ""That's"" is stylistic given the style ""casual"", we can calculate the PMI value of ""That's"" with respect to ""casual"" using the",['Unacceptable'],0.7118835943563852,0.6,1.0,0.0
1,What are existing baseline models on these benchmark datasets?,"['For evaluation, all results are evaluated with the same metrics as in the previous experiments. The averages response quality scores before and after domain variation are shown in Figure FIGREF55. For a direct comparison, the in-domain performance of each model can be found in Table TABREF25 and TABREF26.As shown in Figure FIGREF55, some of the strong baselines exhibit a drastic drop in response quality after domain variation such as GPT2-FT and PS w/o R. In contrast, the PS model successfully maintains high response quality in spite of domain variation. The model seems to benefit from leveraging retrieved results to bridge the gap between the two different domains. This can also be observed in the results of RST and RRe which also use the retrieved results and get a even higher performance when facing domain variation.Experiments ::: Case Study\tWe present several examples of generated responses by the proposed PS approach. Table TABREF51 shows responses with different gender and emotion styles, and Table TABREF52 shows responses with different sentiments.'
 'The corpus collection and model pre-training details are presented in the supplementary material. For the English pre-trained language model, we use the PyTorch adaptation released by the HuggingFace team.To optimize the model, we use the Adam optimizer BIBREF37 with a batch size of 64 and learning rate of 2e-5. During inference, the retrieval system is built from the training corpus, and the retrieved responses are selected using the Jaccard similarity BIBREF38 between queries.During the inference stage, we retrieve the candidates from the training set. Specifically, we employ Jacquard Similarity to calculate the similarity between the input query q and queries in training set and find the most similar query q$^\\prime $. Then we directly adopt the response of the retrieved query q$^\\prime $ to construct the response prototype.Experiments ::: Model Comparison\tWe compare the proposed approach with several competitive baselines that can be categorized into two classes: generative approaches and retrieval-based approaches.Experiments ::: Model Comparison ::: Generative Approaches ::: Seq2seq:\tStandard sequence-to-sequence model with attention mechanism BIBREF39, BIBREF40.']","  Based on the given context information, I can provide the following answer to the query ""What are existing baseline models on these benchmark datasets?""

There are several existing baseline models on these benchmark datasets, including:

1. GPT2-FT: A variant of the popular GPT2 model that is fine-tuned on each dataset before being evaluated.
2. PS w/o R: A version of the PS model that does not use any retrieved results.
3. RST and RRe: Two other retrieval-based models that use retrieved results to generate responses.
4. Seq2seq: A standard sequence-to-sequence model with attention mechanism.

These baseline models are compared to the proposed PS approach in the experiment, and the results show that the PS model successfully maintains high response quality even when facing domain variation, while some of the strong baselines exhibit a drastic drop in response quality.",['Unacceptable'],0.993307956097978,1.0,0.0,0.7272727272727273
